183,199,24;39.93
199,67,10.1;21.57
67,83,163.27;271.36
83,114,163.27;271.36
114,130,161.01;269.84
130,161,161.01;269.84
163,129,156.97;260.19
129,116,156.97;260.19
116,82,158.45;256.89
82,69,158.45;256.89
69,198,24.3;51
198,185,24.3;51
185,35,125.43;207.24
35,22,125.43;207.24
24,34,93.3;201.17
34,187,93.3;201.17
187,197,45.98;103.89
197,71,45.98;103.89
71,81,156.34;260.39
81,118,156.34;260.39
118,128,157.96;265.53
128,165,157.96;265.53
167,127,157.4;266.34
127,120,157.4;266.34
120,80,180.63;300.77
80,73,121.54;231.97
73,196,84.34;131.25
196,189,84.34;131.25
189,33,94.51;140.5
33,26,78.65;120.32
28,32,83.21;134.31
32,191,83.21;134.31
191,195,85.67;150.91
195,75,85.67;150.91
75,79,121.65;234.27
79,122,217.43;306.07
122,126,164.21;286.53
126,169,164.21;286.53
