40.760469, -73.984687;176,Citi Bike
40.760808, -73.984529;177,""
40.761148, -73.984301;178,""
40.761453, -73.984099;179,""
40.761770, -73.983875;180,Winter Garden Theatre
40.762081, -73.983660;181,""
40.762449, -73.983409;182,""
40.762727, -73.983261;183,""
40.763037, -73.983083;184,""
40.763393, -73.982874;185,""
40.763698, -73.982708;186,""
40.764049, -73.982501;187,""
40.764420, -73.982365;188,""
40.764764, -73.982259;189,""
40.765143, -73.982125;190,""
40.765479, -73.982004;191,""
40.765864, -73.981937;192,""
40.766320, -73.981886;193,""
40.765863, -73.980839;194,Brooklyn Diner
40.765128, -73.981189;195,""
40.764477, -73.981599;196,""
40.763793, -73.981904;197,""
40.763161, -73.982362;198,""
40.762524, -73.982763;199,""
40.761883, -73.983197;200,""
40.761274, -73.983676;201,""
40.760640, -73.984079;202,""
40.759986, -73.984506;203,""
40.7544865376797, -73.9843583106995;204,Bryant Park
40.7541939563203, -73.9845836162567;205,""
40.753824164149, -73.98481965065;206,Bryant Park
40.7535315798747, -73.9850181341171;207,Bryant Park
40.7533405866677, -73.9845031499863;208,""
40.7531902299273, -73.9841383695602;209,""
40.75297078975, -73.9836126565933;210,""
40.752735093938, -73.9830923080444;211,""
40.752507524775, -73.9825451374054;212,""
40.7522068071864, -73.9818263053894;213,Stephen A. Schwarzman Building
40.7528001135558, -73.9813756942749;214,Stephen A. Schwarzman Building
40.7519995550836, -73.9813274145126;215,""
40.7517719834032, -73.9807909727097;216,Courtyard by Mariott
40.7515322195401, -73.9802169799805;217,""
40.7521295956942, -73.9797878265381;218,""
40.7523978036503, -73.9803564548492;219,Courtyard by Mariott
40.7526172457187, -73.9808875322342;220,""
40.7532755675784, -73.9803671836853;221,""
40.7530276817173, -73.9798039197922;222,""
40.7528204321733, -73.9792782068253;223,""
40.7513127738906, -73.9796912670136;224,""
40.7510770722012, -73.9790368080139;225,""
40.7508494973635, -73.9785969257355;226,""
40.7514590710707, -73.9781892299652;227,""
40.7517110265708, -73.9787900447845;228,""
40.7518898331207, -73.9792191982269;229,Benjamin Steakhouse
40.7525969270391, -73.9787471294403;230,Benjamin Steakhouse
40.752084894263, -73.9776957035065;231,Grand Central Terminal
40.7523774849036, -73.9783179759979;232,Grand Central Terminal
40.7530276817173, -73.9777064323425;233,Grand Central Terminal
40.7527676037548, -73.9779210090637;234,""
40.7519426622365, -73.9772182703018;235,""
40.752235253503, -73.9768695831299;236,Grand Central Terminal
40.7527188390236, -73.976531624794;237,""
40.7530276817173, -73.9762741327286;238,""
40.7534950067498, -73.9759629964828;239,""
