40.757107, -73.982504;101,Connolly's Pub & Restaurant, https://connollyspubandrestaurant.com/
40.757405, -73.982284;102,"", ""
40.757731, -73.982038;103,"", ""
40.758043, -73.981792;104,NHL Store NYC, https://www.nhl.com/info/nhl-store
40.758372, -73.981559;105,Fox News Building, https://www.foxnews.com/
40.758661, -73.981366;106,"", ""
40.758993, -73.981066;107,First Republic Bank, https://www.firstrepublic.com/
40.759285, -73.980882;108,"", ""
40.759594, -73.980659;109,DLA Piper, https://en.wikipedia.org/wiki/DLA_Piper
40.759919, -73.980421;110,"", ""
40.760221, -73.980184;111,Radio City Music Hall, https://www.msg.com/radio-city-music-hall
40.760523, -73.979987;112,"", ""
40.760835, -73.979731;113,Mastro's Steakhouse, https://www.mastrosrestaurants.com/
40.761157, -73.979512;114,"", ""
40.761459, -73.979297;115,"", ""
40.761778, -73.979073;116,"", ""
40.762077, -73.978849;117,Enterprise Rent-A-Car, https://www.enterprise.com/en/car-rental/locations/us/ny/new-york.html
40.762423, -73.978594;118,"", ""
40.762724, -73.978375;119,"", ""
40.763040, -73.978146;120,"", ""
40.763399, -73.977859;121,"", ""
40.763661, -73.977689;122,"", ""
40.763969, -73.977474;123,Rue 57, https://rue57.com/
40.764336, -73.977188;124,"", ""
40.763756, -73.975813;125,Great American Health Bar, https://menupages.com/the-great-american-health-bar/35-w-57th-st-new-york
40.763060, -73.976238;126,"", ""
40.762423, -73.976740;127,Five Guys, https://www.fiveguys.com/
40.761812, -73.977183;128,Mozzarella & Vino, http://www.mozzarellaevino.com/
40.761195, -73.977671;129,The Museum of Modern Art, https://www.moma.org/
40.760554, -73.978101;130,Brazilian Steakhouse, https://fogodechao.com/
40.759933, -73.978551;131,Marvel Entertainment, https://en.wikipedia.org/wiki/Marvel_Entertainment
40.759347, -73.979050;132,"", ""
40.758681, -73.979511;133,Rockfeller center, https://www.rockefellercenter.com/
40.758084, -73.980021;134,Nintendo NY, https://www.nintendonyc.com/
40.757409, -73.980370;135,"", ""
40.756820, -73.980863;136,The Hotel @ Times Square, https://www.hoteltsq.com/
40.756170, -73.981255;137,"", ""
40.755503, -73.981625;138,Harvard Club of New York City, https://www.hcny.com/
40.754857, -73.982001;139,The United States Postal Service, https://www.usps.com/
40.754203, -73.982575;140,Winter Willage at Bryant Park, https://bryantpark.org/amenities/bank-of-america-winter-village-at-bryant-park
40.753472, -73.980874;141,New York Public Library Stephen Allen, http://archives.nypl.org/mss/6604
40.753866, -73.980606;142,"", ""
40.754179, -73.980407;143,"", ""
40.754475, -73.980166;144,"", ""
40.754792, -73.979935;145,"", ""
40.755097, -73.979721;146,NBA Store NYC, https://www.nbastore.eu/stores/nba/en
40.755406, -73.979469;147,"", ""
40.755735, -73.979216;148,"", ""
40.756032, -73.979045;149,"", ""
40.756353, -73.978798;150,adidas Flagship New York, https://m.adidas.com/us/stores/new_york/adidas_brand_flagship_new_york,_5th_ave_US470125
40.756674, -73.978540;151,"", ""
40.756983, -73.978310;152,SEPHORA, https://www.sephora.com/
40.757300, -73.978117;153,"", ""
40.757612, -73.977870;154,"", ""
40.757925, -73.977650;155,"", ""
40.758214, -73.977419;156,Rockfeller Center, https://www.rockefellercenter.com/
40.758535, -73.977173;157,"", ""
40.758848, -73.976942;158,"", ""
40.759185, -73.976754;159,"", ""
40.759486, -73.976523;160,Victoria's Secret & PINK, https://www.victoriassecret.com/pink
40.759786, -73.976282;161,"", ""
40.760095, -73.976062;162,"", ""
40.760416, -73.975826;163,"", ""
40.760757, -73.975585;164,Microsoft Store, https://www.microsoft.com/en-us
40.761058, -73.975386;165,Saint Thomas Church, https://en.wikipedia.org/wiki/Saint_Thomas_Church_(Manhattan)
40.761387, -73.975113;166,The University Club of New York, https://www.universityclubny.org/
40.761684, -73.974930;167,"", ""
40.762001, -73.974689;168,Fifth Avenue Presbyterian Church, https://www.fapc.org/
40.762318, -73.974458;169,"", ""
40.762639, -73.974244;170,"", ""
40.762984, -73.973970;171,"", ""
40.759437, -73.985128;172,"", ""
40.759322, -73.984884;173,"", ""
40.759775, -73.985006;174,"", ""
40.760142, -73.984880;175,"", ""
40.760469, -73.984687;176,Citi Bike, https://www.citibikenyc.com/
40.760808, -73.984529;177,"", ""
40.761148, -73.984301;178,"", ""
40.761453, -73.984099;179,"", ""
40.761770, -73.983875;180,Winter Garden Theatre, http://wintergardentheatre.tickets/
40.762081, -73.983660;181,"", ""
40.762449, -73.983409;182,"", ""
40.762727, -73.983261;183,"", ""
40.763037, -73.983083;184,"", ""
40.763393, -73.982874;185,"", ""
40.763698, -73.982708;186,"", ""
40.764049, -73.982501;187,"", ""
40.764420, -73.982365;188,"", ""
40.764764, -73.982259;189,"", ""
40.765143, -73.982125;190,"", ""
40.765479, -73.982004;191,"", ""
40.765864, -73.981937;192,"", ""
40.766320, -73.981886;193,"", ""
40.765863, -73.980839;194,Brooklyn Diner, https://www.brooklyndiner.com/
40.765128, -73.981189;195,"", ""
40.764477, -73.981599;196,"", ""
40.763793, -73.981904;197,"", ""
40.763161, -73.982362;198,"", ""
40.762524, -73.982763;199,"", ""
40.761883, -73.983197;200,"", ""
40.761274, -73.983676;201,"", ""
40.760640, -73.984079;202,"", ""
40.759986, -73.984506;203,"", ""


 






































